BX = 000 Event : 1
2 0 0111001|110|001|010 0x738a
2 1 0111010|000|000|011 0x7403
2 2 0111110|110|100|100 0x7da4
2 3 1000000|001|001|101 0x804d
3 0 0000000|100|001|001 0x0109
6 0 0010110|011|111|011 0x2cfb
a 0 1000001|010|101|101 0x82ad
c 0 0001001|100|000|010 0x1302
c 1 0001010|111|001|110 0x15ce
d 0 0001111|101|000|110 0x1f46
e 0 0010101|010|100|011 0x2aa3
e 1 0011011|101|111|110 0x377e
f 0 0100001|010|100|010 0x42a2
f 1 0100011|101|010|111 0x4757
10 0 0100100|000|000|000 0x4800
12 0 0110111|101|111|000 0x6f78
12 1 1000100|100|011|110 0x891e
13 0 0000100|110|100|100 0x09a4
13 1 0000101|110|100|100 0x0ba4
13 2 0001000|101|111|111 0x117f
13 3 1001001|100|110|010 0x9332
16 0 0010011|000|010|010 0x2612
16 1 0010100|100|011|010 0x291a
17 0 0100010|101|110|101 0x4575
18 0 0100101|000|000|001 0x4a01
18 1 0100110|100|000|010 0x4d02
18 2 0100111|000|011|000 0x4e18
18 3 0101001|010|101|000 0x52a8
1a 0 0111101|101|110|011 0x7b73
1a 1 0111111|101|110|100 0x7f74
1b 0 0000001|101|000|010 0x0342
1b 1 0000010|100|000|010 0x0502
1b 2 0000011|100|000|010 0x0702
1b 3 0000110|000|011|111 0x0c1f
1b 4 0000111|101|001|111 0x0f4f
1c 0 1010110|010|111|100 0xacbc
1c 1 1010111|010|100|110 0xaea6
1f 0 0011110|101|100|000 0x3d60
20 0 0101111|001|011|011 0x5e5b
21 0 0110101|011|001|101 0x6acd
22 0 0111000|101|100|000 0x7160
22 1 0111100|100|100|011 0x7923
22 2 1000010|110|100|101 0x85a5
23 0 1000110|110|100|000 0x8da0
23 1 1001000|101|101|010 0x916a
23 2 1001010|001|010|010 0x9452
23 3 1001011|001|011|010 0x965a
23 4 1010000|101|010|110 0xa156
24 0 1010010|100|001|001 0xa509
24 1 1010100|101|010|100 0xa954
24 2 1010101|101|010|100 0xab54
26 0 0010010|110|011|010 0x259a
27 0 0100000|010|011|010 0x409a
28 0 0101010|100|000|001 0x5501
29 0 0110011|001|111|000 0x6678
29 1 0110110|110|111|111 0x6dbf
2b 0 1001100|000|011|010 0x981a
2b 1 1001101|000|110|100 0x9a34
2c 0 1010011|000|100|001 0xa621
2d 0 0001100|000|110|001 0x1831
2e 0 0010111|110|001|011 0x2f8b
30 0 0101000|100|000|000 0x5100
30 1 0101100|000|101|001 0x5829
30 2 0101101|110|111|001 0x5bb9
30 3 0101110|001|101|010 0x5c6a
30 4 0110000|001|111|101 0x607d
30 5 0110001|001|111|101 0x627d
30 6 0110010|010|110|110 0x64b6
31 0 0110100|101|111|000 0x6978
